accuracy,loss,val_accuracy,val_loss,learning_rate
0.893666684627533,0.3620372414588928,0.9553333520889282,0.1557844579219818,0.0010000000474974513
0.9598703980445862,0.1319614052772522,0.971833348274231,0.0962187871336937,0.0010000000474974513
0.9737407565116882,0.08570846915245056,0.9788333177566528,0.07565998286008835,0.0010000000474974513
0.9828703999519348,0.05700107663869858,0.9815000295639038,0.06117755547165871,0.0005000000237487257
0.9855740666389465,0.047774165868759155,0.9833333492279053,0.059660475701093674,0.0005000000237487257
0.9876852035522461,0.0415547750890255,0.9826666712760925,0.059259723871946335,0.0005000000237487257
0.9907777905464172,0.03263337165117264,0.9856666922569275,0.05080411210656166,0.0002500000118743628
0.9917963147163391,0.029268132522702217,0.9869999885559082,0.048646289855241776,0.0002500000118743628
0.9925000071525574,0.02688056044280529,0.9861666560173035,0.04813745617866516,0.0002500000118743628
0.9936110973358154,0.023008430376648903,0.9866666793823242,0.0475815124809742,0.0001250000059371814
